FC東京.xlsx,市場価値.xlsx,通算対戦成績.xlsx,,objective variable,,,,,explanatory variable,,,,,,,,,,,,,
Basic information,,,,point result,,score result,,,compatibility,,,others,ME,,,,,opponent,,,,
Year,Section,name of me,name of opponent,gain points,lose points,"score(win=3,draw=1,lose=0)","lose=0, not lose=1","not win=0, win=1",mean score(compatibility),mean gain points(compatibility),mean lose points(compatibility),Home/Away,score of last year(me),mean score points in last five games(me),total market value(me),mean age(me),number of foreign people(me),score of last year(opponent),total market value(opponent),mean age(opponent),number of foreign people(opponent),
2017,7,FC東京,浦和,0,1,0,0,0,0.895833333,1,1.6,H,46,1.4,1.127202867,24.2,6,66,1.322052684,26.5,3,506
2017,9,FC東京,広島,1,0,3,1,1,1.272727273,1.2,1.3,H,46,1.4,1.127202867,24.2,6,58,1.288801862,25.9,5,
2017,11,FC東京,柏,1,2,0,0,0,1.395833333,1.4,1.2,H,46,1.8,1.127202867,24.2,6,48,0.911072524,23.2,6,
2017,13,FC東京,甲府,1,1,1,1,0,2.181818182,1.7,0.7,H,46,2,1.127202867,24.2,6,30,0.577234271,26.7,8,
2017,15,FC東京,横浜FM,0,1,0,0,0,1.37254902,1.2,1.2,H,46,1.6,1.127202867,24.2,6,44,0.901097277,23.2,6,
2017,18,FC東京,鹿島,2,2,1,1,0,1,1.4,1.9,H,46,0.8,1.127202867,24.2,6,78,1.179074149,24.3,7,
2017,19,FC東京,新潟,1,1,1,1,0,1.72972973,1.4,1.2,H,46,0.8,1.127202867,24.2,6,36,0.711567592,24.3,6,
2017,22,FC東京,神戸,1,0,3,1,1,1.854166667,1.4,0.9,H,46,1.2,1.127202867,24.2,6,40,1.82547013,25.2,5,
2017,25,FC東京,Ｃ大阪,1,4,0,0,0,1.411764706,1.5,1.3,H,46,1.4,1.127202867,24.2,6,22,1.172423985,23.2,5,
2017,26,FC東京,仙台,1,0,3,1,1,1.744186047,1.6,1.1,H,46,1.2,1.127202867,24.2,6,46,0.736838216,24.5,5,
2017,28,FC東京,磐田,0,0,1,1,0,1.256410256,1.2,1.6,H,46,0.6,1.127202867,24.2,6,46,0.80333986,25.5,3,
2017,30,FC東京,札幌,1,2,0,0,0,1.916666667,1.7,1,H,46,1,1.127202867,24.2,6,22,0.673661654,26.9,7,
2017,31,FC東京,清水,0,0,1,1,0,1.592592593,1.4,1.2,H,46,1,1.127202867,24.2,6,22,0.711567592,24.6,5,
2017,34,FC東京,Ｇ大阪,0,0,1,1,0,1.395348837,1.5,1.7,H,46,0.4,1.127202867,24.2,6,48,1.014150072,23,7,
2018,1,FC東京,浦和,1,1,1,1,0,0.895833333,1,1.6,H,40,0.4,0.991750147,23.3,5,49,1.563347083,26.3,6,
2018,2,FC東京,仙台,0,1,0,0,0,1.744186047,1.6,1.1,H,40,0.6,0.991750147,23.3,5,41,0.701237478,23.9,5,
2018,4,FC東京,湘南,1,0,3,1,1,2.222222222,1.7,0.8,H,40,0.4,0.991750147,23.3,5,25,0.585150265,24.2,4,
2018,5,FC東京,Ｇ大阪,3,2,3,1,1,1.395348837,1.5,1.7,H,40,1,0.991750147,23.3,5,43,0.945786682,23.1,5,
2018,7,FC東京,鹿島,2,1,3,1,1,1,1.4,1.9,H,40,1.8,0.991750147,23.3,5,72,1.121390689,25,6,
2018,10,FC東京,広島,3,1,3,1,1,1.272727273,1.2,1.3,H,40,2.4,0.991750147,23.3,5,33,1.015321155,25,4,
2018,11,FC東京,名古屋,3,2,3,1,1,1.590909091,1.3,1,H,40,2.4,0.991750147,23.3,5,25,0.81496759,23.7,6,
2018,14,FC東京,札幌,0,0,1,1,0,1.916666667,1.7,1,H,40,2.6,0.991750147,23.3,5,43,0.649970536,25.9,6,
2018,17,FC東京,横浜FM,5,2,3,1,1,1.37254902,1.2,1.2,H,40,1.8,0.991750147,23.3,5,59,0.820860342,23.8,8,
2018,18,FC東京,長崎,0,1,0,0,0,1.526666667,0.66,0.433333333,H,40,2.2,0.991750147,23.3,5,25,0.446670595,25.2,5,
2018,20,FC東京,神戸,1,0,3,1,1,1.854166667,1.4,0.9,H,40,2,0.991750147,23.3,5,44,2.291101945,25.9,8,
2018,22,FC東京,柏,0,1,0,0,0,1.395833333,1.4,1.2,H,40,1.8,0.991750147,23.3,5,62,0.904537419,24.2,7,
2018,25,FC東京,鳥栖,0,0,1,1,0,1.580645161,1.2,1.1,H,40,0.8,0.991750147,23.3,5,47,1.143193872,25.4,7,
